OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 0, 200, 0, 1, "0.943116" 
0, comb, down, 1, -2.4, 2.4, 0, 200, 0, 1, "0.943116-0.025421500205993652" 
0, comb, up, 1, -2.4, 2.4, 0, 200, 0, 1, "0.943116+0.025421500205993652" 
1, comb, central, 1, -2.4, 2.4, 0, 200, 0, 1, "0.940763" 
1, comb, down, 1, -2.4, 2.4, 0, 200, 0, 1, "0.940763-0.032704208046197891" 
1, comb, up, 1, -2.4, 2.4, 0, 200, 0, 1, "0.940763+0.032704208046197891" 
2, comb, central, 1, -2.4, 2.4, 0, 200, 0, 1, "1.12805" 
2, comb, down, 1, -2.4, 2.4, 0, 200, 0, 1, "1.12805-0.10806500911712646" 
2, comb, up, 1, -2.4, 2.4, 0, 200, 0, 1, "1.12805+0.10806500911712646" 
